post_id,post_title,post_class,post_subject,post_authors,post_publisher,post_year,post_lang,post_booklink,post_cover,post_pdf,post_pdf_pages,post_epub,post_frame,post_content,post_isinteractive
110,Познание мира. Учебник,4,Познание мира,"Б. ТУРМАШЕВА, С. САЛИШ, В. ПУГАЧ",Атамұра,2019,Русский,http://books.atamura.kz/oc/index.php/s/bG4qrEWM1f6HQHA,110.jpg,110.pdf,144,110.epub,,,0
113, Художественный труд. Учебник ,4,Художественный труд,"Н.А. РАУНОВА, Э.Т. ТЕЛЕБИЕВ, Е.В. ДАШКЕВИЧ",Атамұра,2017,Русский,http://books.atamura.kz/oc/index.php/s/2bXcpuwqRstNEpM,113.jpg,113.pdf,144,113.epub,,,0
117,Қазақ тілі. Оқулық+аудиодиск,5,Қазақ тілі,"Ж. ДЭУЛЕТЕКОВА, Г. КОСЫМОВА",Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/yllVf2vhwx6SSSX,117.jpg,117.pdf,192,117.epub,,,0
119,Қазақ әдебиеті. Оқулық + CD,5,Литература,"А.С. Актанова, А.К. Жундибаева",Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/eUwZmR8fBAir3kV,119.jpg,119.pdf,160,119.epub,,,0
121,Русский язык и литература.Учебник. Часть 1,5,Русский язык,У. А. Жанпейс Н. А. ОЗЕКБАЕКА,Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/zBTzy0cRN1LSEPO,121.jpg,121.pdf,160,121.epub,,,0
122,Русский язык и литература.Учебник. Часть 2,5,Русский язык,У. А. Жанпейс Н. А. ОЗЕКБАЕКА,Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/Ga6SfWFF1eyJXfi,122.jpg,122.pdf,144,122.epub,,,0
123,Математика. Оқулық. 1 бөлім,5,Математика,"Т.А. АЛДАМУРАТОВА, К.С. БАЙШОЛАНОВА. Е.С. БАЙШОЛАНОВ",Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/a2cHPxdvYpEwnaT,123.jpg,123.pdf,224,123.epub,,,0
124,Математика. Оқулық. 2-бөлім,5,Математика,"Т.А. АЛДАМУРАТОВА, К.С. БАЙШОЛАНОВА. Е.С. БАЙШОЛАНОВ",Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/8tT3fvAJu83jJAT,124.jpg,124.pdf,192,124.epub,,,0
127,Жаратылыстану. Оқулық,5,Естествознание,"Б. Ш. ОБДИМАНАПОВ, А. У. ОБИЛГАЗИЕВ",Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/ehmDWBfXrqktaa6,127.jpg,127.pdf,208,127.epub,,,0
131,Қазақстан тарихы. Оқулық,5,История,"Б.Е. КОМЕКОВ, Т.С. ЖУМАРАНБЕТОВ, К.С. ИГIЛIКОВА",Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/jqhK1B0zedXuW81,131.jpg,131.pdf,144,131.epub,,,0
134,Дүниежүзі тарихы. Оқулық,5,История,"Т.Э.ТОЛЕБАЕВ, Л.Б. МОМЫНТАЕВА, Л.А. ТОЛБАЕВА",Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/mwvAostGEoHoNKp,134.jpg,,,134.epub,,,0
144,Русская литература.Учебник,5,Литература,"Л.В. САФРОНОВА, Т.П. ЧАПЛЫШКИНА, Н.В. СВИДОВА, К.Н. БЕЛОУС",Атамұра,2017,Русский,http://books.atamura.kz/oc/index.php/s/6JtlcqKMH92GbFt,144.jpg,144.pdf,232,144.epub,,,0
146,Математика.Учебник. Часть 1,5,Математика,"Т.А. АЛДАМУРАТОВА, К.С. БАЙШОЛАНОВА. Е.С. БАЙШОЛАНОВ",Атамұра,2017,Русский,http://books.atamura.kz/oc/index.php/s/QhcpF0eTWA64wbC,146.jpg,,,146.epub,,,0
147,Математика.Учебник. Часть 2,5,Математика,"Т.А. АЛДАМУРАТОВА, К.С. БАЙШОЛАНОВА. Е.С. БАЙШОЛАНОВ",Атамұра,2017,Русский,http://books.atamura.kz/oc/index.php/s/2LR66R7fewulG0A,147.jpg,147.pdf,192,147.epub,,,0
150,Информатика. Учебник,5,Информатика,МУХАМБЕТЖАНОВА С.Т. ТЕИ А.С.,Атамұра,2017,Русский,http://books.atamura.kz/oc/index.php/s/dgKlWv6TtWpFntv,150.jpg,150.pdf,128,150.epub,,,0
154,Естествознание. Учебник,5,Естествознание,"Б.Ш. АЮДИМАНАПОВ, А.У. АБУЛГАЗИЕВ",Атамұра,2017,Русский,http://books.atamura.kz/oc/index.php/s/ywwrLknmLwbAfOc,154.jpg,154.pdf,208,154.epub,,,0
155,История Казахстана. Учебник,5,История,"Б.Е. КОМЕКОВ, Т.С. ЖУМАРАНБЕТОВ, К.С. ИГIЛIКОВА",Атамұра,2017,Русский,http://books.atamura.kz/oc/index.php/s/nJ2z1VLQJDgk6UM,155.jpg,155.pdf,144,155.epub,,,0
158,Всемирная история. Учебник,5,История,"Т.А. ТУЛЕБАЕВ, Л.Б. МОМЫНТАЕВА, Л.А. ТОЛБАЕВА",Атамұра,2017,Русский,http://books.atamura.kz/oc/index.php/s/uy2G6FH4nsVnI62,158.jpg,158.pdf,176,158.epub,,,0
160,Музыка. Учебник,5,Музыка,"Ш.Б. КУЛЬМАНОВА, Б.Р. СУЛЕЙМЕНОВА, Т.Т. ТОКЖАНОВ, И. С. СИВАКОВА",Атамұра,2017,Русский,http://books.atamura.kz/oc/index.php/s/yqyyBZz2cgAed0J,160.jpg,160.pdf,112,160.epub,,,0
166,Қазақ тілі. Оқулық + CD,6,Қазақ тілі,"Б.А. Әрінова, Г.М. Раева, Г.С. Кәрімова, Л.К. Жұмекенова",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/6CW5FLVq8YGn3g8,166.jpg,166.pdf,224,,,,0
169,Қазақ әдебиеті. Оқулық + CD,6,Литература,"А.С. АқтАновА, А.К. ЖундибАевА, Л.К. ЖұмеКеновА",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/pK0ayl1mB7yWwLl,169.jpg,169.pdf,128,,,,0
180,Математика. Оқулық. 1 бөлім,6,Математика,"Т. А. АЛДАМУРАТОВА, К.С. БАЙШОЛАНОВА, Е.С. БАЙШОЛАНОВ",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/6qZv66VlUeXvT00,180.jpg,180.pdf,208,,,,0
181,Математика. Оқулық. 2 бөлім,6,Математика,"Т. А. АлдАМҰрАТОВА, Қ. С. БАйШОлАнОВА, е. С. БАйШОлАнОВ ",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/4K9cgwZH61UUN3o,181.jpg,181.pdf,224,,,,0
184,Информатика. Оқулық,6,Информатика,"Мұхамбетжанова С.Т., Тен А.С., Қыдырбек Ө",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/lOS5EoA4kMW25e5,184.jpg,184.pdf,176,,,,0
186,Қазақстан тарихы. Оқулық,6,История,"Н.С. Бакина, Н.Т. Жанақова, Қ.Қ. Сүлейменова",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/91PFSkHTIu665hU,186.jpg,186.pdf,240,,,,0
